id,startup_name,about,description,website,category,funding_stage,funding_amount,headquarters,founded_year,source,date_added
018,Figure AI,AI-Powered Humanoid Robots,Figure is an AI robotics company building the world's first commercially viable autonomous humanoid robot. Based in Sunnyvale CA the company is part of a humanoid robotics wave projected to draw $20B+ in funding through 2026 as manufacturing and logistics demand grows.,https://www.figure.ai,Robotics,Series B,"$1.5B+",Sunnyvale USA,2022,Forbes AI 50 / Seedtable,2026-05-30
019,Skild AI,Foundation Models for Robotics,Skild AI builds foundation models specifically designed for robotics applications enabling robots to learn and generalize across different tasks and environments. The company is part of the humanoid robotics sector projected to draw $20B+ in funding through 2026.,https://www.skild.ai,Robotics,Series A,"$300M",Pittsburgh USA,2023,aifundingtracker.com,2026-05-30
020,Anysphere,AI-Native Software Development Platform,Anysphere is the company behind Cursor one of the most popular AI-powered code editors that enables developers to write refactor and debug code using natural language. It has quickly become a breakout product company in the AI development tools space.,https://www.anysphere.io,DevTools,Series B,"$400M",San Francisco USA,2022,topstartups.io,2026-05-30
021,Replit,AI-Powered Browser-Based Coding Platform,Replit is an AI-powered browser-based IDE that enables anyone to build software using natural language prompts. The platform supports 50+ programming languages and includes AI agents that can generate debug and deploy full applications from plain English descriptions.,https://replit.com,DevTools,Series B,"$97M",San Francisco USA,2016,YC / topstartups.io,2026-05-30
022,Beacon Health,AI Agents for Primary Care,Beacon Health builds AI agents that handle primary care workflows including patient triage appointment scheduling and follow-up coordination. Founded by Obinna A. and Mark Pothen the startup aims to make healthcare more accessible through intelligent automation.,https://www.beaconhealth.ai,HealthTech,Seed,"$5M",San Francisco USA,2024,YC W26,2026-05-30
023,Eos AI,AI-Powered Earth Observation & Satellite Analytics,Eos AI uses satellite imagery and machine learning to provide real-time earth observation analytics for agriculture climate monitoring and disaster response. The platform processes petabytes of satellite data to deliver actionable intelligence for governments and enterprises.,https://www.eos.ai,AI/ML,Seed,"$6M",San Francisco USA,2024,YC W26,2026-05-30
024,Maven,Payments Infrastructure for Voice AI Agents,Maven provides the payments infrastructure that enables voice AI agents to securely process transactions handle billing and manage payment workflows autonomously. Founded by Wasi Ahmed and Brandon Boehme it bridges the gap between AI agents and financial transactions.,https://www.mavenpayments.io,FinTech,Seed,"$4M",San Francisco USA,2024,YC W26,2026-05-30
025,Seeing Systems,AI Drone Inspection & Autonomous Surveillance,Seeing Systems builds AI-powered drone systems for autonomous infrastructure inspection and surveillance. Their technology enables drones to navigate inspect and report on bridges power lines and industrial facilities without human piloting reducing inspection costs by up to 80%.,https://www.seeingsystems.ai,Robotics,Seed,"$5M",San Francisco USA,2024,YC W26,2026-05-30
026,Listen Labs,AI-Powered User Research & Feedback Platform,Listen Labs uses AI to automate user research by conducting analyzing and synthesizing customer interviews at scale. The platform replaces manual research workflows with AI-driven insights helping product teams make data-informed decisions faster than traditional methods.,https://www.listenlabs.com,AI/ML,Series A,"$15M",San Francisco USA,2023,topstartups.io,2026-05-30
027,Scale AI,AI Data Infrastructure & Training Data Platform,Scale AI provides the data infrastructure for AI including data labeling RLHF and evaluation services that power the world's most advanced AI models. The company serves major AI labs and enterprises building production AI systems across automotive government and technology sectors.,https://scale.com,AI/ML,Series F,"$1B+",San Francisco USA,2016,Forbes AI 50,2026-05-30
028,Aurora,Self-Driving Truck Technology,Aurora develops autonomous driving technology specifically for long-haul trucking. Their Aurora Driver platform enables Class 8 trucks to navigate highways autonomously and they are among the top edge AI startups by total funding raised in the autonomous vehicle sector.,https://aurora.tech,Robotics / AI,Late Stage,"$1B+",Pittsburgh USA,2017,newmarketpitch.com,2026-05-30
029,Romantic AI,AI Companion & Relationship Platform,Romantic AI is a trending AI companion platform that provides personalized AI-driven conversational experiences. Ranked as one of the top trending startups in May 2026 by Exploding Topics it represents the growing consumer AI companion market.,https://romanticai.com,Generative AI,Seed,"$3M",Wilmington USA,2023,Exploding Topics,2026-05-30
030,Wise AI,AI-Powered Financial Advisory Platform,Wise AI provides AI-driven financial advisory and wealth management tools for retail investors. The platform uses machine learning to analyze market trends portfolio risk and investment opportunities delivering personalized financial recommendations at scale.,https://www.wise.ai,FinTech,Series A,"$20M",Singapore,2021,Exploding Topics,2026-05-30
031,LMArena,LLM Benchmarking & AI Evaluation Platform,LMArena provides a comprehensive benchmarking and evaluation platform for large language models enabling developers and enterprises to compare test and validate AI model performance. The company secured a landmark funding round as part of the Q1 2026 AI funding surge.,https://lmarena.ai,AI/ML,Series A,"$100M",San Francisco USA,2023,Crunchbase,2026-05-30
032,NoimosAI,Autonomous AI Marketing Agent for Startups,NoimosAI is the premier autonomous marketing agent for growth-focused startups acting as a 24/7 autonomous marketing department. The AI agent handles content creation campaign management SEO optimization and performance analytics without human oversight.,https://noimosai.com,AI Agents,Seed,"$4M",New York USA,2024,noimosai.com,2026-05-30
033,Starship Technologies,Autonomous Robot Delivery Vehicles,Starship Technologies develops small self-driving robotic delivery vehicles that operate on sidewalks and pedestrian areas. The Estonian company headquartered in San Francisco has become a leader in last-mile autonomous delivery completing millions of deliveries globally.,https://www.starship.xyz,Robotics,Series B,"$200M",San Francisco USA / Tallinn Estonia,2014,Seedtable,2026-05-30
034,Coconote,AI-Powered Study & Quiz Platform (by Quizlet),Coconote is an AI-powered study platform developed under the Quizlet umbrella that generates quizzes flashcards and study materials from any content using large language models. It represents the evolution of AI in education and personalized learning.,https://www.coconote.app,EdTech,Seed,N/A,San Francisco USA,2024,YC,2026-05-30
035,SorceJobs,AI Agent-Powered Recruitment Platform,SorceJobs uses AI agents to automate the entire recruitment pipeline from candidate sourcing and screening to interview scheduling and offer management. The platform helps companies hire faster by replacing manual recruiting workflows with intelligent automation.,https://www.sorcejobs.com,SaaS,Seed,"$3M",San Francisco USA,2024,YC,2026-05-30
036,Rork,AI Agent for Mobile App Development & Testing,Rork provides AI agents that automate mobile application development and testing workflows. Part of the Limrun platform ecosystem it enables developers to build and test mobile experiences using natural language instructions and AI-driven quality assurance.,https://rork.dev,DevTools,Seed,"$5M",San Francisco USA,2024,YC,2026-05-30
037,Momentic,AI-Powered Software Testing Agent,Momentic is an AI testing agent that automates end-to-end software testing by understanding application behavior and generating test cases intelligently. The platform reduces testing time by up to 90% by using LLMs to interpret UI elements and create robust test automations.,https://www.momentic.ai,DevTools,Seed,"$6M",San Francisco USA,2023,YC,2026-05-30
038,Minitap,AI Agent for Mobile UX Optimization,Minitap uses AI agents to analyze and optimize mobile user experiences by tracking user interactions identifying friction points and automatically suggesting UX improvements. The platform provides real-time insights that help product teams improve app engagement and retention.,https://www.minitap.ai,DevTools,Seed,"$3M",San Francisco USA,2024,YC,2026-05-30
039,Apilayer,API Infrastructure & Developer Services,Apilayer provides a suite of API infrastructure services that enable developers to integrate financial data geolocation weather and other data services into their applications. The platform serves thousands of developers worldwide with reliable and scalable API endpoints.,https://apilayer.com,DevTools,Series A,"$15M",Vienna Austria,2017,Exploding Topics,2026-05-30
040,Atmos Financial,Climate-Focused Banking & FinTech Platform,Atmos Financial is a climate-focused FinTech platform that provides banking and financial services specifically designed for environmentally conscious consumers and businesses. The platform routes deposits to climate-positive projects and offers green financial products.,https://www.joinatmos.com,FinTech,Seed,"$10M",San Francisco USA,2020,Exploding Topics,2026-05-30
041,Ev Structure,Electric Vehicle Charging Infrastructure Platform,Ev Structure provides an AI-powered platform for managing and optimizing electric vehicle charging infrastructure. The platform uses machine learning to predict demand optimize energy distribution and manage charging station networks for fleet operators and property managers.,https://www.evstructure.com,SaaS,Seed,"$8M",Austin USA,2022,Exploding Topics,2026-05-30
042,Flex,AI-Powered Workforce Management & Scheduling,Flex uses AI to optimize workforce scheduling and management for industries with shift-based work. The platform uses machine learning to predict staffing needs minimize labor costs and ensure compliance while giving workers flexibility in their schedules.,https://www.flex.work,SaaS,Series A,"$20M",New York USA,2022,Exploding Topics,2026-05-30
043,Stripe,AI-Powered Payments Infrastructure,Stripe is a leading payments infrastructure company that has increasingly integrated AI into its platform for fraud detection revenue optimization and automated financial operations. While not a startup in the traditional sense it continues to lead FinTech innovation globally.,https://stripe.com,FinTech,Late Stage,"$8.5B valuation",San Francisco USA,2010,Seedtable / Failory,2026-05-30
044,Glean,AI-Powered Enterprise Search & Knowledge Discovery,Glean provides AI-powered enterprise search that connects to all of a company's data sources and uses LLMs to deliver instant accurate answers. The platform understands context and relationships across documents chats tickets and wikis making organizational knowledge instantly accessible.,https://www.glean.com,AI/ML,Series D,"$200M",Palo Alto USA,2019,Forbes AI 50,2026-05-30
045,Abridge,AI Medical Documentation & Clinical Notes,Abridge uses AI to automatically generate clinical documentation from patient-provider conversations. The platform listens to medical visits extracts relevant clinical information and creates structured notes that integrate with electronic health record systems saving physicians hours of documentation time.,https://www.abridge.com,HealthTech,Series C,"$250M",Pittsburgh USA,2018,Forbes AI 50,2026-05-30
046,Poolside,AI Code Generation & Software Development Platform,Poolside is building advanced AI models specifically for software code generation. The company focuses on creating AI that can understand plan and implement complex software systems making programming more accessible and dramatically increasing developer productivity.,https://poolside.ai,Generative AI,Series B,"$500M",San Francisco USA,2023,Forbes AI 50,2026-05-30
047,Cognition,Devin — The First AI Software Engineer,Cognition is the company behind Devin the world's first fully autonomous AI software engineer that can plan execute and debug complex coding tasks end-to-end. Devin represents a breakthrough in agentic AI for software development autonomously building and deploying applications.,https://www.cognition.ai,AI Agents,Series B,"$175M",San Francisco USA,2023,Forbes AI 50,2026-05-30
048,Sierra AI,AI Agents for Customer Experience,Sierra AI builds conversational AI agents that handle complex customer service interactions for enterprise companies. Unlike simple chatbots Sierra's agents can take actions resolve issues and adapt their communication style to match each brand's voice and policies.,https://www.sierra.ai,AI Agents,Series B,"$110M",San Francisco USA,2023,Forbes AI 50,2026-05-30
049,Cleanlab,AI Data Quality & Curation Platform,Cleanlab provides an automated data curation platform that uses AI to find and fix data quality issues in any dataset. The platform automatically detects mislabeled data outliers and inconsistencies helping ML teams improve model accuracy by improving their training data quality.,https://cleanlab.ai,AI/ML,Series A,"$30M",San Francisco USA,2021,topstartups.io,2026-05-30
050,Weights & Biases (W&B),ML Experiment Tracking & Model Management,Weights & Biases provides the leading platform for ML experiment tracking dataset versioning and model management. Used by thousands of ML teams worldwide W&B helps track experiments visualize results and manage the entire ML lifecycle from research to production.,https://wandb.ai,AI/ML,Series C,"$250M",San Francisco USA,2017,topstartups.io,2026-05-30
051,Cursor by Anysphere,AI-Powered Code Editor,Cursor is an AI-native code editor built by Anysphere that enables developers to write refactor and debug code using natural language. It has become one of the most popular AI development tools with millions of developers using it to dramatically increase coding productivity.,https://cursor.sh,DevTools,Series B,"$400M",San Francisco USA,2022,topstartups.io,2026-05-30
052,Vercel,Frontend Cloud & AI Deployment Platform,Vercel is the frontend cloud platform that enables developers to build deploy and scale web applications and AI-powered experiences. The platform supports Next.js and other frameworks and has become the go-to infrastructure for shipping AI web applications rapidly.,https://vercel.com,DevTools,Series E,"$250M",San Francisco USA,2015,topstartups.io,2026-05-30
053,Runway,Generative AI for Creative Content,Runway provides generative AI tools for creative professionals including video generation image editing and multimedia content creation. Their Gen-3 Alpha model enables text-to-video generation and their platform has become essential for filmmakers designers and content creators.,https://runwayml.com,Generative AI,Series D,"$141M",New York USA,2018,Forbes AI 50,2026-05-30
054,Hugging Face,Open-Source AI Model Hub & Platform,Hugging Face is the leading open-source AI platform hosting over 1 million models datasets and ML applications. The platform enables developers to discover share and deploy AI models and has become the central hub for the global open-source AI community.,https://huggingface.co,AI/ML,Series D,"$235M",New York USA / Paris France,2016,Forbes AI 50,2026-05-30
055,Lemonade,AI-Powered Insurance Platform,Lemonade uses AI and behavioral economics to provide renters homeowners pet and life insurance with instant claims processing. Their AI chatbot Maya can provide a quote in seconds and process claims in minutes making insurance faster and more transparent than traditional providers.,https://www.lemonade.com,FinTech,IPO,N/A,New York USA,2015,Seedtable,2026-05-30
056,K Health,AI-Powered Primary Care & Symptom Checker,K Health provides AI-driven primary care by offering a symptom checker that compares user symptoms to millions of real medical records. The platform provides personalized health assessments and connects patients with licensed doctors for treatment reducing unnecessary emergency visits.,https://khealth.com,HealthTech,Series E,"$132M",New York USA,2016,Medical Startups,2026-05-30
057,Viz.ai,AI-Powered Medical Imaging & Diagnostics,Viz.ai uses AI to analyze medical images in real-time and automatically alert care teams to critical conditions like strokes and pulmonary embolisms. Their FDA-cleared algorithms reduce diagnosis-to-treatment time by automatically detecting findings and triggering care coordination workflows.,https://www.viz.ai,HealthTech,Series D,"$100M",San Francisco USA,2016,Forbes AI 50 / Medical Startups,2026-05-30
058,Duolingo,AI-Powered Language Learning Platform,Duolingo uses AI to personalize language learning experiences for over 500 million users worldwide. Their AI tutor adapts lessons to each learner's pace and style and the company has increasingly integrated generative AI for creating content and providing conversational practice.,https://www.duolingo.com,EdTech,IPO,N/A,Pittsburgh USA,2011,EdTech sector data,2026-05-30
059,Sana Labs,AI-Powered Corporate Learning Platform,Sana Labs uses AI to create personalized corporate learning experiences that adapt to each employee's knowledge and learning style. The platform generates interactive courses from existing content and uses spaced repetition and retrieval practice to maximize knowledge retention.,https://www.sanalabs.com,EdTech,Series B,"$55M",Stockholm Sweden,2016,Seedtable,2026-05-30
060,Wiz,Cloud Security & AI-Powered Threat Detection,Wiz provides a cloud security platform that uses AI to detect and prioritize security risks across cloud infrastructure. The company has grown rapidly to become one of the most valuable cybersecurity startups providing agentless scanning and risk prioritization for multi-cloud environments.,https://www.wiz.io,Cybersecurity,Series E,"$1B+",Tel Aviv Israel / New York USA,2020,Forbes AI 50,2026-05-30
