id,slug,startup_name,about,description,website,category,subcategory,funding_stage,funding_amount,funding_amount_usd,valuation_display,valuation_usd,total_raised_display,last_round_date,investors,headquarters,city,country,region,founded_year,status,status_note,source,source_urls,date_added,last_updated,last_verified,verification_status,tags,notes
011,hebbia,Hebbia,AI search & analysis engine for finance and professional services,"Hebbia applies LLM agents to complex document analysis for private equity, hedge funds, and law firms via its Matrix product. It raised a $130M Series B at a ~$700M valuation in July 2024 led by a16z with Index Ventures, GV, and Peter Thiel participating, and has grown materially since without a newer priced round.",https://www.hebbia.com,AI/ML,Financial Analysis,Series B,$130M,130000000,~$700M at Series B (Jul 2024),700000000,~$161M across 3 rounds,2024-07-08,a16z; Index Ventures; Google Ventures; Peter Thiel,"New York, USA",New York,USA,North America,2020,active,,"Hebbia (official), Sacra, PitchBook",https://www.hebbia.com/news,2026-09-07,2026-09-07,2026-09-07,verified,finance-ai; document-search,
012,hugging-face,Hugging Face,"Open-source AI hub: models, datasets, and collaboration platform",Hugging Face hosts the world's largest open-model ecosystem — millions of models and datasets — plus enterprise tooling for AI builders. Its last primary round was $235M at a $4.5B valuation in August 2023; Business Insider reported in January 2026 that the company had drawn acquisition interest at $13B+. The platform remains critical infrastructure for open-weight AI.,https://huggingface.co,AI/ML,Open-Source Platform,Series D,$235M,235000000,$4.5B (Aug 2023); $13B+ sale interest reported (Jan 2026),4500000000,~$260M across 8 rounds,2023-08-24,Salesforce Ventures; Google; AMD; Lux Capital; Sequoia,"New York, USA",New York,USA,North America,2016,active,,"Reuters, Business Insider via TechCrunch, Tracxn",https://www.reuters.com/technology/hugging-face-valued-4-5-billion-2023-08-24/,2026-01-30,2026-09-07,2026-09-07,verified,open-source; transformers; datasets,No primary round since Aug 2023; secondary market implies materially higher valuation.
013,lambda,Lambda,GPU cloud for AI training and inference (Superintelligence Cloud),"Lambda provides GPU clouds and on-prem supercomputers purpose-built for AI workloads. It raised over $1.5B in Series E funding led by TWG Global in November 2025, then a $1B private debt facility in August 2026 to buy Nvidia chips leased to Microsoft. Total equity funding is ~$2.4B.",https://lambda.ai,AI/ML,GPU Cloud,Series E,$1.5B,1500000000,"~$4B (Nov 2025, estimates vary $2.5B–$6.9B)",4000000000,~$2.4B equity + $1B debt,2025-11-18,TWG Global; Mercato Partners; Gradient Ventures; Bloomberg Beta; Nvidia,"San Jose, USA",San Jose,USA,North America,2012,active,,"Lambda (official), TechCrunch, Tracxn",https://lambda.ai/blog,2026-09-07,2026-09-07,2026-09-07,partial,gpu-cloud; nvidia; training,Valuation reports conflict ($2.5B–$6.9B); using ~$4B midpoint estimate.
014,listen-labs,Listen Labs,AI-moderated customer research and voice interviews at scale,"Listen Labs runs thousands of simultaneous AI-moderated voice and video interviews, synthesizing customer insights automatically for brands. It raised a $69M Series B led by Ribbit Capital in January 2026, bringing total funding to $100M alongside Sequoia Capital and Conviction.",https://listenlabs.com,AI/ML,Market Research,Series B,$69M,69000000,"~$400M (est., Jan 2026)",400000000,$100M across 4 rounds,2026-01-14,Ribbit Capital; Sequoia Capital; Conviction; Evantic,"San Francisco, USA",San Francisco,USA,North America,2023,active,,"Fortune, Yahoo Finance, Listen Labs (official)",https://www.listenlabs.com/blog,2026-02-28,2026-09-07,2026-09-07,verified,research-agents; voice-ai,Valuation estimate unconfirmed; round size and leads confirmed by company.
015,lmarena,LMArena,Open platform for evaluating AI models via human preference,"LMArena, spun out of UC Berkeley's Chatbot Arena, benchmarks frontier models through millions of real human preference votes. It raised a $150M Series A at a $1.7B post-money valuation in January 2026, led by Felicis and UC Investments, tripling its valuation in eight months and becoming a unicorn ~7 months after launch.",https://arena.ai,AI/ML,Model Evaluation,Series A,$150M,150000000,$1.7B post-money (Jan 2026),1700000000,~$250M across 2 rounds,2026-01-06,Felicis Ventures; UC Investments; Sequoia; a16z; Lightspeed,"San Francisco, USA",San Francisco,USA,North America,2024,active,,"Reuters, TechCrunch, LMArena (official)",https://arena.ai/blog/lmarena-series-a,2026-03-30,2026-09-07,2026-09-07,verified,evaluation; benchmarks; human-feedback,
016,mercor,Mercor,AI training data & expert talent marketplace for frontier labs,"Mercor recruits domain experts and structures their expertise into training data for frontier AI labs, powering RLHF and evaluation pipelines. It raised a $350M Series C at a $10B valuation in October 2025 and announced the acquisition of data-engine startup Deeptune. Talks for a $500M round at ~$20B led by General Catalyst were reported in July–August 2026.",https://mercor.com,AI/ML,Training Data,Series C,$350M,350000000,$10B (Oct 2025),10000000000,~$492M across 4 rounds,2025-10-27,Felicis Ventures; General Catalyst; Benchmark; Peter Thiel,"San Francisco, USA",San Francisco,USA,North America,2023,active,,"CNBC, Forbes, Bloomberg",https://www.cnbc.com/2025/10/27/mercor-350-million-series-c.html,2026-09-07,2026-09-07,2026-09-07,verified,rlhf; expert-data; talent,Aug 2026: $20B round led by General Catalyst reportedly in discussions.
017,scale-ai,Scale AI,"Data engine for AI: labeling, evaluation, and agent data","Scale AI provides data labeling, evaluation, and model-engineering services to enterprises and governments. Meta acquired 49% for ~$14.3B at a $29B valuation in June 2025, with ex-CEO Alexandr Wang joining Meta; under new CEO Jason Droege, Scale says sales have rebounded and it expects to top $1B revenue in 2026.",https://scale.com,AI/ML,Training Data,Series G,"$14.3B (Meta, 49% stake)",14300000000,$29B (Jun 2025),29000000000,~$16B raised incl. Meta investment,2025-06-12,Meta; Accel; Amazon; Tiger Global; Index Ventures,"San Francisco, USA",San Francisco,USA,North America,2016,majority_acquired,Meta purchased 49% for ~$14.3B (Jun 2025); company remains independently operated.,"Reuters, Forbes, Scale (official)",https://scale.com/blog,2026-01-30,2026-09-07,2026-09-07,verified,data-labeling; evaluation; government,
018,surge-ai,Surge AI,Human data labeling and RLHF for frontier model training,"Surge AI supplies high-quality human data and RLHF pipelines to frontier labs and enterprises, bootstrapping to ~$1.2B revenue in 2024 with zero outside capital. It initiated its first external fundraise in July 2025 — seeking up to $1B at a valuation reportedly exceeding $15B — with the round's final terms still not formally disclosed as of September 2026.",https://www.surgehq.ai,AI/ML,Training Data,Series Unknown,"Up to $1B (reported, in progress)",1000000000,"$15B+ (reported, talks)",15000000000,$0 external before 2025,,Undisclosed / in market,"San Francisco, USA",San Francisco,USA,North America,2020,active,,"Reuters, Bloomberg, Sacra",https://www.reuters.com/technology/surge-ai-hires-advisers-raise-up-to-1-billion-2025-07-01/,2026-09-07,2026-09-07,2026-09-07,partial,rlhf; data-labeling; bootstrapped,Round sought and valuation range widely reported; closure not confirmed.
019,together-ai,Together AI,"Open-model cloud: inference, fine-tuning, and GPU clusters","Together AI runs a cloud platform for open and custom models — serving, fine-tuning, and dedicated Nvidia GPU capacity. It raised an $800M Series C at an $8.3B post-money valuation on July 1, 2026, led by Aramco Ventures, more than doubling its valuation as it scales the production platform for open-source AI.",https://www.together.ai,AI/ML,AI Cloud,Series C,$800M,800000000,$8.3B post-money (Jul 2026),8300000000,~$1.1B across 5 rounds,2026-07-01,Aramco Ventures; Salesforce Ventures; Nvidia; Sequoia; Coatue,"San Francisco, USA",San Francisco,USA,North America,2022,active,,"Reuters, Business Wire, Together AI (official)",https://www.together.ai/blog/series-c,2026-09-07,2026-09-07,2026-09-07,verified,open-models; inference; gpu-cloud,
020,weights-biases,Weights & Biases,AI developer platform for experiment tracking and model management; acquired by CoreWeave,"Weights & Biases (W&B) provided the standard developer platform for ML experiment tracking, datasets, and model evaluation, used by most major AI labs. CoreWeave completed its ~$1.7B acquisition on May 5, 2025, keeping W&B's products available across clouds. Its last priced round was a $250M total raise at a $1.25B valuation (2023).",https://wandb.ai,AI/ML,MLOps,Series C,$250M (total raised),250000000,$1.25B (2023); ~$1.7B acquisition,1250000000,~$250M across 6 rounds,2023-08-09,Nat Friedman; Daniel Gross; Insight Partners; Bond Capital; Lux Capital,"San Francisco, USA",San Francisco,USA,North America,2017,acquired,"CoreWeave completed ~$1.7B acquisition on May 5, 2025.","CoreWeave IR, TechCrunch, Tracxn",https://investors.coreweave.com/news,2026-01-30,2026-09-07,2026-09-07,verified,mlops; experiment-tracking; coreweave,
021,anthropic,Anthropic,AI safety company building the Claude family of LLMs,"Anthropic develops the Claude LLM family with a safety-first research agenda and enterprise API business. It raised $65B at a $965B post-money valuation in May 2026, surpassing OpenAI as the world's most valuable startup. WSJ reports the company is tracking toward ~$50B in annualized revenue, with IPO preparations reportedly targeting mid-October 2026.",https://www.anthropic.com,Generative AI,Foundation Models,Series G,$65B,65000000000,$965B post-money (May 2026),965000000000,"$100B+ across 19 rounds (incl. $13B Series F, Sep 2025)",2026-05-29,ICONIQ; GIC; Fidelity; Qualcomm Ventures; Lightspeed,"San Francisco, USA",San Francisco,USA,North America,2021,active,,"Reuters, WSJ, Anthropic (official)",https://www.reuters.com/technology/anthropic-raises-65-billion-965-billion-valuation-2026-05-29/,2026-01-30,2026-09-07,2026-09-07,verified,claude; llm; ai-safety,
022,black-forest-labs,Black Forest Labs,Image & video generation models (FLUX family),"Black Forest Labs, founded by original Stable Diffusion researchers in Freiburg, develops the FLUX family of image and video generation models. It closed a $300M Series B at a $3.25B post-money valuation in December 2025, bringing total funding to ~$450M. Annualized revenue was reported near $96M in late 2025.",https://bfl.ai,Generative AI,Image & Video Generation,Series B,$300M,300000000,$3.25B post-money (Dec 2025),3250000000,~$450M across 2 rounds,2025-12-01,a16z; Sequoia; Felicis; Pixelbyte,"Freiburg, Germany",Freiburg,Germany,Europe,2024,active,,"Black Forest Labs (official), FT, Crunchbase",https://bfl.ai/blog,2026-09-07,2026-09-07,2026-09-07,verified,flux; image-generation; video,
023,cohere,Cohere,"Secure enterprise LLMs, RAG, and sovereign AI","Cohere provides enterprise-grade LLMs and retrieval-augmented generation with deployment options for regulated industries and sovereign AI programs. It raised a $500M round at a $6.8B valuation in August 2025, followed by a $100M second close in September bringing the round to $600M at roughly $7B. Revenue closed 2025 at ~$240M ARR with IPO speculation building through 2026.",https://cohere.com,Generative AI,Enterprise LLMs,Series D,$600M,600000000,~$7B (Sep 2025),7000000000,$1.5B+ across 8 rounds,2025-09-24,Radical Ventures; Inovia Capital; PSP Investments; Nvidia; Salesforce Ventures,"Toronto, Canada",Toronto,Canada,North America,2019,active,,"Cohere (official), TechCrunch, CNBC",https://cohere.com/blog/series-d-500m,2026-01-30,2026-09-07,2026-09-07,verified,enterprise-ai; rag; sovereign-ai,
024,elevenlabs,ElevenLabs,"AI voice synthesis, dubbing, and conversational audio","ElevenLabs is the leading AI audio platform for voice cloning, dubbing, and conversational agents across 30+ languages. It raised $500M at an $11B valuation in February 2026 — led by Sequoia and more than tripling its January 2025 valuation of $3.3B — and is weighing an IPO. A secondary tender at a reported $22B valuation was in early talks in July 2026.",https://elevenlabs.io,Generative AI,Voice & Audio,Series D,$500M,500000000,$11B post-money (Feb 2026),11000000000,~$822M across 9 rounds,2026-02-04,Sequoia Capital; ICONIQ; a16z; Index Ventures,"New York, USA",New York,USA,North America,2022,active,,"Reuters, CNBC, ElevenLabs (official)",https://elevenlabs.io/blog/series-d,2026-09-07,2026-09-07,2026-09-07,verified,voice; tts; dubbing,
025,midjourney,Midjourney,Bootstrapped AI image generation studio,"Midjourney produces state-of-the-art AI image generation, distributed via Discord and web app, and has never raised external equity funding. It generated ~$200M ARR as early as 2023 and remains fully founder-owned, so it carries no priced valuation or funding round.",https://www.midjourney.com,Generative AI,Image Generation,Bootstrapped,N/A,,N/A (bootstrapped),,$0 external equity,,"N/A — bootstrapped, no outside equity","San Francisco, USA",San Francisco,USA,North America,2021,active,,"Sacra, Tracxn, Contrary Research",https://sacra.com/c/midjourney/,2026-09-07,2026-09-07,2026-09-07,partial,image-generation; bootstrapped; profitable,Included as a notable exception: no funding round by design.
026,mistral-ai,Mistral AI,Europe's leading open-weight foundation model lab,"Mistral AI trains open-weight and commercial LLMs and is Europe's flagship AI lab. Its Series C closed at €1.7B (~$2.0B) with an €11.7B (~$13.8B) post-money valuation in September 2025, with ASML participating. Talks for a ~€3B round at ~€20B valuation were reported in June 2026 but not confirmed closed.",https://mistral.ai,Generative AI,Foundation Models,Series C,€1.7B (~$2.0B),2000000000,€11.7B post-money (Sep 2025),13800000000,$3B+ across 9 rounds,2025-09-09,ASML; General Catalyst; Nvidia; DST Global; Bpifrance,"Paris, France",Paris,France,Europe,2023,active,,"Mistral AI (official), CNBC, Bloomberg",https://mistral.ai/news/series-c,2026-01-30,2026-09-07,2026-09-07,verified,open-weight; europe; llm,€3B round at ~€20B valuation reported in talks (Jun 2026); not confirmed closed.
027,openai,OpenAI,"Frontier AI research & deployment — GPT models, ChatGPT, and agentic products","OpenAI builds the GPT family of frontier models, the ChatGPT assistant, and agentic developer tooling. It closed a $122B committed-capital round at an $852B post-money valuation on March 31, 2026, the largest private raise on record. Annualized revenue passed $25B in early 2026.",https://openai.com,Generative AI,Foundation Models,Late Stage,$122B,122000000000,$852B post-money (Mar 2026),852000000000,$185B+ primary capital (incl. $40B round completed Aug 2025),2026-03-31,SoftBank; Microsoft; Thrive Capital; MGX; ICONIQ,"San Francisco, USA",San Francisco,USA,North America,2015,active,,"OpenAI (official), Reuters",https://openai.com/index/accelerating-the-next-phase-ai,2026-01-30,2026-09-07,2026-09-07,verified,llm; chatgpt; gpt; agents,Surpassed only by Anthropic's $965B valuation in May 2026.
028,perplexity-ai,Perplexity AI,AI-powered answer engine and Comet browser,"Perplexity operates an AI answer engine combining search with cited LLM responses, plus the Comet agentic browser. Its Series E-6 round in January 2026 valued the company at ~$22.6B, with total funding of ~$1.7B across 11 rounds. ARR grew from ~$200M (Sep 2025) to a reported $750M+ by August 2026, with a public listing targeted for 2028.",https://www.perplexity.ai,Generative AI,AI Search,Series E,$500M+,500000000,~$22.6B (Jan 2026),22600000000,~$1.7B across 11 rounds,2026-01-09,IVP; NEA; Nvidia; Jeff Bezos; SoftBank Vision Fund,"San Francisco, USA",San Francisco,USA,North America,2022,active,,"Tracxn, ValueAdd VC, TechCrunch",https://tracxn.com/d/companies/perplexity,2026-01-30,2026-09-07,2026-09-07,verified,search; answer-engine; comet,
029,poolside,Poolside,Frontier AI models for software engineering,"Poolside trains frontier reasoning models for software engineering, applying reinforcement learning on code execution traces. In August 2026 it struck a $6B licensing deal with Nvidia and raised $1B at a $12B valuation for the remaining company. This followed a ~$2B raise announced in October 2025 that included a $500M–$1B Nvidia investment.",https://poolside.ai,Generative AI,Code Generation,Late Stage,$1B,1000000000,$12B (Aug 2026),12000000000,$3B+ across 4 rounds,2026-08-20,Nvidia; Bain Capital Ventures; Redpoint; Koch Disruptive Technologies,"San Francisco, USA",San Francisco,USA,North America,2023,active,,"Newcomer, Bloomberg, Crunchbase",https://www.newcomer.co/p/poolside-strikes-6-billion-licensing,2026-02-28,2026-09-07,2026-09-07,verified,code-models; malibu; nvidia,
030,runway,Runway,Generative video models and creative AI tools (Gen-4),"Runway builds state-of-the-art video generation models and creative tooling used across film, advertising, and media production. It raised a $315M Series E in February 2026, nearly doubling its valuation to $5.3B from $3.3B at its $308M Series D in April 2025. Total funding now exceeds $860M.",https://runwayml.com,Generative AI,Video Generation,Series E,$315M,315000000,$5.3B (Feb 2026),5300000000,~$860M across 7 rounds,2026-02-10,General Atlantic; Fidelity; SoftBank; Nvidia; Google,"New York, USA",New York,USA,North America,2018,active,,"TechCrunch, Crunchbase News",https://techcrunch.com/2026/02/10/runway-raises-315m-series-e/,2026-01-30,2026-09-07,2026-09-07,verified,video-generation; gen-4; creative,
031,safe-superintelligence,Safe Superintelligence,Ilya Sutskever's lab dedicated solely to safe superintelligence,"SSI is a research lab co-founded by former OpenAI chief scientist Ilya Sutskever, pursuing superintelligence with a deliberate no-product strategy. It raised $2B at a $32B valuation in April 2025, following a $1B debut at $5B in September 2024. Nvidia entered a research partnership with the lab in July 2026.",https://ssi.inc,Generative AI,Foundation Models,Late Stage,$2B,2000000000,$32B (Apr 2025),32000000000,$3B across 2 rounds,2025-04-12,Greenoaks Capital; Nvidia; Alphabet; Sequoia; a16z,"Palo Alto, USA",Palo Alto,USA,North America,2024,active,,"TechCrunch, Reuters, Bloomberg",https://techcrunch.com/2025/04/12/safe-superintelligence-reportedly-valued-at-32b/,2026-09-07,2026-09-07,2026-09-07,verified,agi; research; superintelligence,
032,suno,Suno,Generative AI music platform,"Suno lets anyone create full songs — vocals, lyrics, and instrumentals — from text prompts, and has become the leading consumer AI music platform. It raised over $400M in Series D funding at a $5.4B post-money valuation in June 2026, led by Bond Capital with IVP participating, up from a $2.45B valuation in November 2025 on ~$200M revenue.",https://suno.com,Generative AI,Music Generation,Series D,$400M+,400000000,$5.4B post-money (Jun 2026),5400000000,$750M+ across 4 rounds,2026-06-03,Bond Capital; IVP; Lightspeed; Founder Collective,"Cambridge, USA",Cambridge,USA,North America,2022,active,,"Suno (official), Reuters, Variety",https://suno.com/blog/series-d,2026-09-07,2026-09-07,2026-09-07,verified,music; audio; consumer,
033,synthesia,Synthesia,AI video avatars & enterprise video creation platform,"Synthesia is the leading enterprise AI video platform, generating presenter-led videos from text with lifelike avatars in 140+ languages for training, sales, and communications. It closed a $200M Series E at a $4B valuation in January 2026, led by GV — nearly doubling its $2.1B valuation from January 2025.",https://www.synthesia.io,Generative AI,Video Avatars,Series E,$200M,200000000,$4B (Jan 2026),4000000000,~$400M across 6 rounds,2026-01-26,GV; Accel; Kleiner Perkins; LinkedIn Ventures,"London, UK",London,UK,Europe,2017,active,,"Synthesia (official), Investing.com, eWeek",https://www.synthesia.io/news,2026-09-07,2026-09-07,2026-09-07,verified,avatars; enterprise-video,
034,thinking-machines-lab,Thinking Machines Lab,Mira Murati's AI lab; builds Tinker fine-tuning API,"Thinking Machines Lab is a frontier AI lab founded by former OpenAI CTO Mira Murati. It raised a record $2B seed at a $12B valuation with participation from Nvidia, AMD, Cisco, and Jane Street, and released Tinker, an API for fine-tuning open models. The Information reported talks for a $1B round at roughly a $40B valuation in September 2026 after a larger round collapsed.",https://thinkingmachines.ai,Generative AI,Foundation Models,Seed,$2B,2000000000,"$12B (seed, 2025)",12000000000,$2B,2025-07-15,Nvidia; AMD; Cisco; Jane Street; Sequoia,"San Francisco, USA",San Francisco,USA,North America,2025,active,,"The Information, Reuters, TechCrunch",https://www.theinformation.com/briefings/thinking-machines-lab-in-talks-for-1b-at-40b-valuation,2026-09-07,2026-09-07,2026-09-07,verified,agi; tinker; fine-tuning,"Talks for $1B at ~$40B pre-money reported Sep 3, 2026 (Accel leading, Nvidia considering)."
035,xai,xAI,Builds Grok LLMs and the Colossus supercomputer,xAI develops the Grok model series and operates the Colossus GPU supercomputer in Memphis. It completed an upsized $20B Series E in January 2026 — exceeding its $15B target — at roughly a $230B post-money valuation. Secondary-market reports of a SpaceX-xAI transaction remain unconfirmed.,https://x.ai,Generative AI,Foundation Models,Series E,$20B,20000000000,~$230B post-money (Jan 2026),230000000000,$37B+ across 6 rounds,2026-01-06,Valor Equity Partners; Vy Capital; a16z; Qatar Investment Authority; Sequoia,"Palo Alto, USA",Palo Alto,USA,North America,2023,active,,"xAI (official), Reuters, WSJ",https://x.ai/news/series-e,2026-02-28,2026-09-07,2026-09-07,verified,grok; llm; colossus,Unconfirmed secondary-market reports of SpaceX merger at ~$250B (Feb 2026).
036,clay,Clay,AI-powered go-to-market & sales automation platform,"Clay aggregates 100+ data providers and uses AI research agents to automate prospecting and outbound for GTM teams. It raised a $100M Series C at a $3.1B valuation in August 2025, led by CapitalG — more than doubling its valuation — with total funding of $277M+ and headcount above 1,400 by mid-2026.",https://www.clay.com,AI Agents,Go-to-Market,Series C,$100M,100000000,$3.1B (Aug 2025),3100000000,$277M+ across 7 rounds,2025-08-05,CapitalG; Sequoia Capital; Meritech Capital; Iconiq Growth,"New York, USA",New York,USA,North America,2017,active,,"TechCrunch, Crunchbase News, Business Wire",https://www.clay.com/blog,2026-09-07,2026-09-07,2026-09-07,verified,gtm; sales-agents; data-enrichment,
